wavelength,Fp/Fs,snr,bandwidth,flux
0.3,1.7913110785330402e-10,3.2050890833776102,0.06,3.073247809960832e-09
0.3295918367346939,1.8727482006830067e-10,4.392130869612532,0.06591836734693877,5.69584585703033e-09
0.35918367346938773,1.942671592731637e-10,5.229114784435718,0.07183673469387755,8.158429252321097e-09
0.38877551020408163,1.9292010964217944e-10,6.12706274345338,0.07775510204081633,1.1546016667310128e-08
0.4183673469387755,1.8698900920863287e-10,6.8430876624809995,0.08367346938775509,1.5053626392739697e-08
0.4479591836734694,1.7786683891332235e-10,7.27517178463505,0.08959183673469387,1.8048694862938317e-08
0.4775510204081632,1.7385697941158835e-10,7.296712431031824,0.09551020408163265,1.909594769895877e-08
0.5071428571428571,1.6344253171652207e-10,6.980704950898641,0.10142857142857142,1.9015440285777485e-08
0.536734693877551,1.5585226848719302e-10,6.634981333984869,0.1073469387755102,1.8559063291868602e-08
0.5663265306122449,1.383049783214054e-10,5.894734662348546,0.11326530612244898,1.6866657851349e-08
0.5959183673469388,1.2692150917474498e-10,5.39981390169413,0.11918367346938777,1.58404762703494e-08
0.6255102040816326,1.1405840939891347e-10,4.788030298772571,0.12510204081632653,1.4249390452482985e-08
0.6551020408163265,9.429497524666019e-11,3.8913218589356457,0.1310204081632653,1.165998724532305e-08
0.6846938775510203,7.651068387605335e-11,3.0901246843797385,0.13693877551020406,9.296218146239963e-09
0.7142857142857142,6.29383538988762e-11,2.4821327465769616,0.14285714285714285,7.493093379789489e-09
0.7438775510204081,4.718271399914989e-11,1.8173708816548344,0.1487755102040816,5.4956421874365395e-09
0.773469387755102,3.403573967533244e-11,1.2755684360084767,0.1546938775510204,3.856380966449803e-09
0.8030612244897959,2.697113265883023e-11,0.9789421025311343,0.16061224489795917,2.956257580555832e-09
0.8326530612244898,2.029475250500504e-11,0.715554138722766,0.16653061224489796,2.16421500494052e-09
0.8622448979591837,1.7137351940610156e-11,0.585398248855679,0.17244897959183675,1.7730073617680447e-09
0.8918367346938776,1.648875928310558e-11,0.5446390117399905,0.1783673469387755,1.6521072491480213e-09
0.9214285714285713,1.2351129057214253e-11,0.39524999652816845,0.18428571428571425,1.2023435640709718e-09
0.9510204081632652,8.372838282313771e-12,0.2590933466256263,0.19020408163265304,7.896042220380789e-10
0.9806122448979591,9.01988342966559e-12,0.26997661546646484,0.1961224489795918,8.24811441567711e-10
1.010204081632653,9.100926843175579e-12,0.26318719713590777,0.2020408163265306,8.036470250743649e-10
1.0397959183673469,7.682213321224945e-12,0.21545750688213167,0.20795918367346938,6.57487575689884e-10
1.0693877551020408,3.2091154544843696e-12,0.08737731305190262,0.21387755102040815,2.6594546675937807e-10
1.0989795918367347,2.7640455079210916e-12,0.07302164868880774,0.21979591836734694,2.2143947225757315e-10
1.1285714285714286,2.6459483591336636e-12,0.06788393761125312,0.2257142857142857,2.0500910376629436e-10
1.1581632653061225,2.5134314206337305e-12,0.06273912796250908,0.2316326530612245,1.8878567637673785e-10
1.1877551020408161,2.182250821343874e-12,0.0529882647553293,0.23755102040816323,1.5876213799358721e-10
1.21734693877551,1.3972818940710502e-12,0.03304948864798048,0.24346938775510202,9.866679470140161e-11
1.246938775510204,1.23474296582977e-12,0.028450877901407542,0.24938775510204078,8.463798768769835e-11
1.2765306122448978,1.2050802663390552e-12,0.02703540962584996,0.25530612244897954,8.010582625143866e-11
1.3061224489795917,1.206907948071193e-12,0.026449913168508983,0.26122448979591834,7.824292935450725e-11
1.3357142857142856,1.2137327075255255e-12,0.02588327593158897,0.2671428571428571,7.624056488786202e-11
1.3653061224489795,1.1880580832123002e-12,0.02472048509998074,0.2730612244897959,7.268349416994496e-11
1.3948979591836734,1.216150039243792e-12,0.024600898491203314,0.2789795918367347,7.209838989821374e-11
1.4244897959183673,1.2358205939695991e-12,0.024272137181498895,0.28489795918367344,7.100974044120003e-11
1.4540816326530612,1.4086520167866642e-12,0.02679415381940978,0.29081632653061223,7.84584931880329e-11
1.4836734693877551,1.3869293889964362e-12,0.025432615567154142,0.296734693877551,7.487967838180994e-11
1.513265306122449,1.379304631924896e-12,0.024161289318530666,0.3026530612244898,7.200562733053395e-11
1.5428571428571427,1.377284568929992e-12,0.0227444638712234,0.30857142857142855,6.939851542952947e-11
1.5724489795918366,1.3412373905065074e-12,0.020563786459281547,0.31448979591836734,6.545461581963573e-11
1.6020408163265305,1.360521065745699e-12,0.018890774462116778,0.3204081632653061,6.413206320890781e-11
1.6316326530612244,1.3251840559725174e-12,0.016157528999102687,0.32632653061224487,6.004383021700099e-11
1.6612244897959183,1.259886742174452e-12,0.013138751066747507,0.33224489795918366,5.4999146108531856e-11
1.6908163265306122,1.2132901682554543e-12,0.010550987365876096,0.33816326530612245,5.0994530737132116e-11
1.720408163265306,1.007152491060074e-12,0.00714901930703403,0.34408163265306124,4.064913515767399e-11
1.75,4.772427854242385e-13,0.0027279731105668,0.35,1.8479243652882955e-11
