wavelength,Fp/Fs,snr,bandwidth,flux
0.3,3.204714690135202e-11,0.6923156325222112,0.06,5.498141847630881e-10
0.3295918367346939,1.2962187224052934e-10,3.274089973295836,0.06591836734693877,3.9423677123943705e-09
0.35918367346938773,1.9844396354640856e-10,5.448505094961054,0.07183673469387755,8.333838015652759e-09
0.38877551020408163,1.9624807724437148e-10,6.3630587834730346,0.07775510204081633,1.1745191182991496e-08
0.4183673469387755,1.861502831045032e-10,6.973835790791035,0.08367346938775509,1.4986104405908273e-08
0.4479591836734694,1.767071155080608e-10,7.400086678151024,0.08959183673469387,1.7931014164305255e-08
0.4775510204081632,1.674512758740159e-10,7.214666497520954,0.09551020408163265,1.8392363752300342e-08
0.5071428571428571,1.5759525420333642e-10,6.906196420512697,0.10142857142857142,1.8335148838877978e-08
0.536734693877551,1.4721355009322017e-10,6.4367728412151894,0.1073469387755102,1.753035499656685e-08
0.5663265306122449,1.3861919148438943e-10,6.044261949634785,0.11326530612244898,1.6904976977506022e-08
0.5959183673469388,1.3366485099803394e-10,5.803825601162196,0.11918367346938777,1.6682081029300044e-08
0.6255102040816326,1.324736775513639e-10,5.6538890771146475,0.12510204081632653,1.6550021748100028e-08
0.6551020408163265,1.327321054486999e-10,5.5359654888932015,0.1310204081632653,1.6412906971217757e-08
0.6846938775510203,1.3593010067036485e-10,5.518999092355785,0.13693877551020406,1.6515809354405324e-08
0.7142857142857142,1.3807110005506067e-10,5.457040360608188,0.14285714285714285,1.643798386314804e-08
0.7438775510204081,1.4172480993372213e-10,5.451125772099146,0.1487755102040816,1.6507504093389408e-08
0.773469387755102,1.432915643711461e-10,5.352149767214274,0.1546938775510204,1.623548854130514e-08
0.8030612244897959,1.4796543490859436e-10,5.34783018668956,0.16061224489795917,1.6218226506908005e-08
0.8326530612244898,1.4676149342475982e-10,5.1556797396441105,0.16653061224489796,1.5650519814864123e-08
0.8622448979591837,1.4109683991693387e-10,4.81269460153959,0.17244897959183675,1.459768911567467e-08
0.8918367346938776,1.3241842543687374e-10,4.380753638883009,0.1783673469387755,1.3267792732542195e-08
0.9214285714285713,1.3303614690026153e-10,4.266343805574465,0.18428571428571425,1.2950650444454755e-08
0.9510204081632652,1.33731917401508e-10,4.1494706177147025,0.19020408163265304,1.2611647692339983e-08
0.9806122448979591,1.315745179315416e-10,3.955531922899022,0.1961224489795918,1.2031659683290937e-08
1.010204081632653,1.3063827034716587e-10,3.7993227088203056,0.2020408163265306,1.1535864328377286e-08
1.0397959183673469,1.2520490332659157e-10,3.5367519812814203,0.20795918367346938,1.0715748822705273e-08
1.0693877551020408,1.2670187028384219e-10,3.474893047939157,0.21387755102040815,1.0500023607700556e-08
1.0989795918367347,1.2615516893653162e-10,3.3597967748287085,0.21979591836734694,1.0106828542371474e-08
1.1285714285714286,1.227947387686978e-10,3.179407450529781,0.2257142857142857,9.514183923993688e-09
1.1581632653061225,1.194514877736329e-10,3.012168364083651,0.2316326530612245,8.972088805934888e-09
1.1877551020408161,1.1609681440186589e-10,2.850397416402444,0.23755102040816323,8.44622363681103e-09
1.21734693877551,1.1064267077693529e-10,2.6487855492217656,0.24346938775510202,7.812852745809313e-09
1.246938775510204,1.0534877362461048e-10,2.459309710309582,0.24938775510204078,7.221347642148214e-09
1.2765306122448978,1.0233708025652631e-10,2.3276745672666266,0.25530612244897954,6.802697379663456e-09
1.3061224489795917,9.82581626808677e-11,2.1848192325086,0.26122448979591834,6.370002363004832e-09
1.3357142857142856,8.97303260734059e-11,1.9435595982321536,0.2671428571428571,5.636406356186663e-09
1.3653061224489795,8.112403401740625e-11,1.716181263825725,0.2730612244897959,4.963038707336423e-09
1.3948979591836734,7.284925261067509e-11,1.4996128214355215,0.2789795918367347,4.318804135206731e-09
1.4244897959183673,6.651527429031158e-11,1.330375279981333,0.28489795918367344,3.821940163303705e-09
1.4540816326530612,6.163318369565624e-11,1.1945577442536996,0.29081632653061223,3.432818514094932e-09
1.4836734693877551,5.981991926685663e-11,1.1181404695784134,0.296734693877551,3.229649866147273e-09
1.513265306122449,6.118635859189635e-11,1.0927345274054145,0.3026530612244898,3.1941907773716513e-09
1.5428571428571427,6.453844433201122e-11,1.0867808731023283,0.30857142857142855,3.251958473805113e-09
1.5724489795918366,6.722577889937049e-11,1.0513225574800689,0.31448979591836734,3.2807298411002063e-09
1.6020408163265305,6.926158598076306e-11,0.9813615108914133,0.3204081632653061,3.2648435381872673e-09
1.6316326530612244,7.16237753517142e-11,0.89158144953755,0.32632653061224487,3.2452592433002653e-09
1.6612244897959183,7.280521796204502e-11,0.7755632211692481,0.33224489795918366,3.1782418896218303e-09
1.6908163265306122,7.341599627206189e-11,0.6524608308895657,0.33816326530612245,3.0856709931771153e-09
1.720408163265306,7.135609406853718e-11,0.5178331067952735,0.34408163265306124,2.879964591124321e-09
1.75,6.878191029154079e-11,0.40207166110559506,0.35,2.6632936484482383e-09
